participant,window,history,window+ad,history+ad
18,0.86,0.56,0.69,0.89
43,0.72,0.89,0.92,0.72
51,0.58,0.81,0.47,0.67
42,0.72,0.61,0.67,0.39
12,0.72,0.86,0.92,0.69
52,0.64,0.17,0.67,0.19
63,0.86,0.89,0.75,1.0
44,0.75,0.72,0.81,0.69
32,0.92,0.69,0.69,0.83
27,0.56,0.67,0.44,0.69
47,0.64,0.56,0.56,0.5
56,0.67,0.86,0.89,0.97
29,0.36,0.44,0.31,0.28
58,0.92,0.81,0.53,0.75
31,0.56,0.69,0.97,0.75
10,0.89,0.89,0.47,0.64
4,0.25,0.44,0.42,0.58
60,0.86,0.69,0.97,0.58
36,0.78,0.69,0.69,0.67
7,0.47,0.64,0.78,0.81
49,0.56,0.56,0.69,0.83
59,0.58,0.17,0.44,0.25
6,0.69,0.86,0.94,0.92
50,0.58,0.44,0.69,0.81
11,0.78,0.56,0.53,0.53
33,0.69,0.78,0.36,0.86
38,0.81,0.69,0.64,0.61
70,0.64,0.42,0.69,0.64
41,0.75,0.69,0.72,0.78
53,0.25,0.69,0.44,0.5
34,0.17,0.72,0.17,0.42
45,0.53,0.42,0.33,0.47
37,0.42,0.56,0.36,0.64
35,0.58,0.5,0.58,0.17
68,0.89,0.67,0.86,0.81
24,0.58,0.72,0.75,0.64
65,0.89,0.72,0.75,0.86
39,0.47,0.56,0.75,0.75
17,0.75,0.67,0.83,0.86
62,0.78,0.72,0.69,0.69
67,0.53,0.61,0.56,0.53
20,0.92,0.69,1.0,0.89
25,0.69,0.31,0.64,0.53
8,0.44,0.47,0.64,0.78
16,0.69,0.53,0.64,0.78
15,0.75,0.78,0.78,0.81
26,0.36,0.42,0.78,0.64
13,0.14,0.42,0.33,0.47
64,0.58,0.53,0.64,0.58
66,0.14,0.17,0.81,0.69
14,0.64,0.31,0.44,0.31
73,0.33,0.28,0.83,0.72
9,0.83,0.67,0.28,0.67
